transaction_id,investor_id,transaction_date_id,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
1,INV003054,20240101,119092,SIP,1834.0,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified
2,INV002952,20240101,148567,Redemption,392882.0,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified
3,INV003420,20240101,118636,SIP,912.0,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified
4,INV003436,20240101,118634,SIP,1102.0,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
5,INV004691,20240101,119094,Lumpsum,8682.0,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
6,INV001497,20240101,101208,SIP,3295.0,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified
7,INV000786,20240101,101208,SIP,15047.0,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified
8,INV000616,20240101,100016,SIP,933.0,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified
9,INV003670,20240101,119120,SIP,10672.0,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified
10,INV002054,20240101,148567,SIP,1111.0,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified
11,INV002592,20240101,101208,Lumpsum,411860.0,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified
12,INV001023,20240101,118636,SIP,4865.0,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified
13,INV002893,20240101,120843,SIP,8472.0,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
14,INV000797,20240101,102885,SIP,58257.0,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified
15,INV000368,20240101,118636,Redemption,339882.0,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified
16,INV000548,20240101,119095,SIP,1607.0,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified
17,INV000600,20240101,149322,SIP,20890.0,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified
18,INV004347,20240101,119599,SIP,1862.0,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified
19,INV000437,20240101,120504,SIP,900.0,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified
20,INV000609,20240101,120842,SIP,8493.0,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified
21,INV000428,20240101,118636,SIP,9146.0,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified
22,INV003329,20240101,101207,Lumpsum,295055.0,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified
23,INV000968,20240101,100025,Lumpsum,497564.0,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified
24,INV004154,20240101,102885,SIP,1897.0,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified
25,INV000234,20240101,148567,SIP,28094.0,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified
26,INV002885,20240101,148567,Lumpsum,430566.0,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
27,INV002157,20240101,102885,Lumpsum,112928.0,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,Verified
28,INV001665,20240101,120505,SIP,3322.0,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,Verified
