nav_id,amfi_code,date_id,nav
1,100016,20220103,520.4608
2,100016,20220104,515.0971
3,100016,20220105,521.7239
4,100016,20220106,515.788
5,100016,20220107,515.1639
6,100016,20220108,515.1639
7,100016,20220109,515.1639
8,100016,20220110,510.7136
9,100016,20220111,513.5542
10,100016,20220112,512.3195
11,100016,20220113,510.2445
12,100016,20220114,514.3636
13,100016,20220115,514.3636
14,100016,20220116,514.3636
15,100016,20220117,514.7627
16,100016,20220118,517.3803
17,100016,20220119,513.1866
18,100016,20220120,507.1294
19,100016,20220121,507.871
20,100016,20220122,507.871
21,100016,20220123,507.871
22,100016,20220124,506.7062
23,100016,20220125,509.7762
24,100016,20220126,509.68
25,100016,20220127,510.8661
26,100016,20220128,503.8641
27,100016,20220129,503.8641
28,100016,20220130,503.8641
29,100016,20220131,512.5903
30,100016,20220201,512.1124
31,100016,20220202,515.5386
32,100016,20220203,512.0153
33,100016,20220204,513.6729
34,100016,20220205,513.6729
35,100016,20220206,513.6729
36,100016,20220207,508.0666
37,100016,20220208,510.3595
38,100016,20220209,509.0223
39,100016,20220210,509.4161
40,100016,20220211,512.826
41,100016,20220212,512.826
42,100016,20220213,512.826
43,100016,20220214,507.5435
44,100016,20220215,504.7492
45,100016,20220216,507.0506
46,100016,20220217,516.7872
47,100016,20220218,516.4246
48,100016,20220219,516.4246
49,100016,20220220,516.4246
50,100016,20220221,519.3918
51,100016,20220222,519.1698
52,100016,20220223,528.4118
53,100016,20220224,520.6004
54,100016,20220225,521.3038
55,100016,20220226,521.3038
56,100016,20220227,521.3038
57,100016,20220228,514.1489
58,100016,20220301,503.1674
59,100016,20220302,504.7495
60,100016,20220303,505.6316
61,100016,20220304,504.6233
62,100016,20220305,504.6233
63,100016,20220306,504.6233
64,100016,20220307,504.411
65,100016,20220308,518.6513
66,100016,20220309,517.7387
67,100016,20220310,520.3416
68,100016,20220311,517.6372
69,100016,20220312,517.6372
70,100016,20220313,517.6372
71,100016,20220314,519.2545
72,100016,20220315,518.432
73,100016,20220316,516.825
74,100016,20220317,525.4534
75,100016,20220318,531.2109
76,100016,20220319,531.2109
77,100016,20220320,531.2109
78,100016,20220321,532.1264
79,100016,20220322,521.6911
80,100016,20220323,520.3011
81,100016,20220324,533.1283
82,100016,20220325,532.3194
83,100016,20220326,532.3194
84,100016,20220327,532.3194
85,100016,20220328,537.8012
86,100016,20220329,544.965
87,100016,20220330,546.3002
88,100016,20220331,542.5392
89,100016,20220401,531.285
90,100016,20220402,531.285
91,100016,20220403,531.285
92,100016,20220404,534.7762
93,100016,20220405,531.2213
94,100016,20220406,532.3217
95,100016,20220407,526.7582
96,100016,20220408,525.7986
97,100016,20220409,525.7986
98,100016,20220410,525.7986
99,100016,20220411,526.2264
100,100016,20220412,527.7466
101,100016,20220413,522.8529
102,100016,20220414,528.6739
103,100016,20220415,526.1696
104,100016,20220416,526.1696
105,100016,20220417,526.1696
106,100016,20220418,518.7241
107,100016,20220419,518.493
108,100016,20220420,518.9178
109,100016,20220421,519.9214
110,100016,20220422,526.4763
111,100016,20220423,526.4763
112,100016,20220424,526.4763
113,100016,20220425,525.6507
114,100016,20220426,525.3674
115,100016,20220427,520.5493
116,100016,20220428,524.6005
117,100016,20220429,525.7251
118,100016,20220430,525.7251
119,100016,20220501,525.7251
120,100016,20220502,524.0515
121,100016,20220503,515.5881
122,100016,20220504,522.4674
123,100016,20220505,517.1078
124,100016,20220506,514.6837
125,100016,20220507,514.6837
126,100016,20220508,514.6837
127,100016,20220509,516.5793
128,100016,20220510,511.4204
129,100016,20220511,504.9889
130,100016,20220512,495.8735
131,100016,20220513,499.2941
132,100016,20220514,499.2941
133,100016,20220515,499.2941
134,100016,20220516,497.1556
135,100016,20220517,510.4206
136,100016,20220518,506.2251
137,100016,20220519,502.3871
138,100016,20220520,500.1462
139,100016,20220521,500.1462
140,100016,20220522,500.1462
141,100016,20220523,501.4785
142,100016,20220524,499.6609
143,100016,20220525,502.6257
144,100016,20220526,498.5637
145,100016,20220527,492.78
146,100016,20220528,492.78
147,100016,20220529,492.78
148,100016,20220530,485.277
149,100016,20220531,476.0989
150,100016,20220601,474.1732
151,100016,20220602,473.1602
152,100016,20220603,470.7754
153,100016,20220604,470.7754
154,100016,20220605,470.7754
155,100016,20220606,476.2119
156,100016,20220607,481.6458
157,100016,20220608,480.4735
158,100016,20220609,473.1759
159,100016,20220610,471.0598
160,100016,20220611,471.0598
161,100016,20220612,471.0598
